timestamp,dissolved_oxygen,pH,salinity,ammonium,chlorophyll
2025-06-02 09:10:04,7.58,6.68,0.24,0.093,3.59
2025-06-02 09:10:11,7.31,7.8,0.21,0.061,4.85
2025-06-02 09:10:18,6.81,7.42,0.21,0.076,4.67
2025-06-02 09:10:25,6.87,6.92,0.41,0.083,9.97
2025-06-02 09:10:32,7.28,7.06,0.23,0.094,13.19
2025-06-02 09:10:40,7.54,7.06,0.5,0.07,1.05
2025-06-02 09:10:47,7.83,7.77,0.23,0.019,10.2
2025-06-02 09:10:54,6.42,6.89,0.34,0.022,10.42
2025-06-02 09:11:01,6.54,7.64,0.4,0.097,8.19
2025-06-02 09:11:08,8.49,7.59,0.21,0.036,8.55
2025-06-02 09:11:15,6.22,6.79,0.46,0.091,12.42
2025-06-02 09:11:22,8.97,7.5,0.5,0.092,11.08
2025-06-02 09:11:29,6.37,7.18,0.2,0.029,14.53
2025-06-02 09:11:36,6.29,6.84,0.13,0.088,14.42
2025-06-02 09:11:43,8.22,7.35,0.19,0.023,7.89
2025-06-02 09:11:50,8.55,7.78,0.16,0.062,8.4
2025-06-02 09:11:57,6.56,7.27,0.15,0.021,12.32
2025-06-02 09:12:04,6.41,6.75,0.43,0.062,2.85
2025-06-02 09:12:11,8.82,6.88,0.14,0.024,12.25
2025-06-02 09:12:18,8.88,6.65,0.16,0.093,9.23
2025-06-02 09:12:25,6.69,6.87,0.48,0.068,9.77
2025-06-02 09:12:32,7.47,7.66,0.22,0.097,8.69
2025-06-02 09:12:39,7.24,7.74,0.4,0.088,3.2
2025-06-02 09:12:46,7.17,7.29,0.32,0.092,10.07
2025-06-02 09:12:53,7.46,6.51,0.24,0.057,10.24
2025-06-02 09:13:00,6.68,6.85,0.11,0.053,7.9
2025-06-02 09:13:07,8.22,7.97,0.2,0.037,5.43
2025-06-02 09:13:15,8.1,6.8,0.49,0.037,7.89
2025-06-02 09:13:22,7.73,6.72,0.39,0.046,12.16
2025-06-02 09:13:29,6.09,7.9,0.25,0.094,7.92
2025-06-02 09:13:36,6.23,7.93,0.16,0.063,14.93
2025-06-02 09:13:43,7.2,7.14,0.46,0.032,9.3
2025-06-02 09:13:50,8.32,7.95,0.38,0.081,11.71
2025-06-02 09:13:57,6.82,6.7,0.2,0.074,12.99
2025-06-02 09:14:04,8.78,7.03,0.15,0.054,2.25
2025-06-02 09:14:11,7.64,7.05,0.14,0.013,7.24
2025-06-02 09:14:18,6.02,7.87,0.2,0.061,5.64
2025-06-02 09:14:25,8.1,7.58,0.26,0.1,1.44
2025-06-02 09:14:32,8.41,7.6,0.2,0.016,11.09
2025-06-02 09:14:39,6.41,7.31,0.32,0.064,3.09
2025-06-02 09:14:46,7.25,7.6,0.17,0.022,2.67
2025-06-02 09:14:53,6.49,7.47,0.32,0.081,11.34
2025-06-02 09:15:00,7.29,6.69,0.25,0.069,5.41
2025-06-02 09:15:07,6.36,6.94,0.25,0.018,4.41
2025-06-02 09:15:14,7.0,7.84,0.44,0.011,6.95
2025-06-02 09:15:21,6.62,7.27,0.3,0.062,14.13
2025-06-02 09:15:29,6.01,7.27,0.41,0.075,1.32
2025-06-02 09:15:45,6.9,6.88,0.12,0.039,12.0
2025-06-02 09:15:52,6.24,7.72,0.23,0.078,10.17
2025-06-02 09:15:59,8.62,6.86,0.5,0.051,4.54
2025-06-02 09:16:06,8.86,7.48,0.23,0.058,14.45
2025-06-02 09:16:13,6.13,6.98,0.47,0.047,4.32
2025-06-02 09:16:20,6.48,7.79,0.35,0.065,14.39
2025-06-02 09:16:27,8.13,7.44,0.36,0.073,8.92
2025-06-02 09:16:34,8.84,7.18,0.22,0.056,8.75
2025-06-02 09:16:41,6.99,7.55,0.41,0.038,14.41
2025-06-02 09:16:48,8.57,6.95,0.45,0.053,8.56
2025-06-02 09:16:55,6.83,7.67,0.17,0.087,4.01
2025-06-02 09:17:02,7.85,7.75,0.15,0.045,5.98
2025-06-02 09:17:09,7.57,6.93,0.34,0.043,6.29
2025-06-02 09:17:16,8.69,6.84,0.2,0.054,7.32
2025-06-02 09:17:24,7.84,6.96,0.4,0.054,5.06
2025-06-02 09:17:31,7.37,6.94,0.45,0.031,13.01
2025-06-02 09:17:38,6.73,7.7,0.17,0.091,2.56
2025-06-02 09:17:45,7.99,7.12,0.24,0.099,8.06
2025-06-02 09:17:52,8.19,7.11,0.11,0.086,11.46
2025-06-02 09:17:59,7.43,7.08,0.44,0.056,1.25
2025-06-02 09:18:06,7.35,6.85,0.25,0.031,10.6
2025-06-02 09:18:13,6.48,7.52,0.36,0.055,9.92
2025-06-02 09:18:20,7.59,7.44,0.35,0.028,13.4
2025-06-02 09:18:27,6.44,7.03,0.3,0.015,1.09
2025-06-02 09:18:34,8.24,6.71,0.3,0.019,12.63
2025-06-02 09:18:41,7.27,6.54,0.49,0.074,12.69
2025-06-02 09:18:48,6.16,7.04,0.22,0.034,1.26
2025-06-02 09:18:55,8.42,7.98,0.36,0.01,7.1
2025-06-02 09:19:02,8.48,7.32,0.39,0.071,2.22
2025-06-02 09:19:09,8.89,7.58,0.2,0.085,6.43
2025-06-02 09:19:17,7.79,6.68,0.32,0.066,11.45
2025-06-02 09:19:24,7.39,7.23,0.34,0.049,6.73
2025-06-02 09:19:31,7.87,7.35,0.39,0.043,14.97
2025-06-02 09:19:38,6.44,6.95,0.23,0.069,6.29
2025-06-02 09:19:45,7.4,7.78,0.35,0.016,10.97
2025-06-02 09:19:52,8.87,7.45,0.44,0.045,9.02
2025-06-02 09:19:59,8.5,7.89,0.47,0.047,10.94
2025-06-02 09:20:06,6.13,6.99,0.15,0.017,11.66
